Class,2011-01-02,2011-04-02,2011-07-26,2011-10-19,2012-01-05,2012-04-01,2012-06-28,2012-10-02,2013-01-03,2013-04-01,2013-07-01,2013-10-02,2014-01-05,2014-04-01,2014-07-01,2014-10-06,2015-01-04,2015-04-01,2015-07-01,2015-10-03,2016-01-01,2016-04-01,2016-07-01,2016-10-01,2017-01-06,2017-04-05,2017-07-05,2017-10-24,2018-01-25,2018-04-03,2018-07-05,2018-10-01,2019-01-08,2019-04-04,2019-07-01,2019-11-28,2020-01-06
\SweetHome3D\src\com\eteks\sweethome3d\j3d\OBJLoader.Line.java,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder
\SweetHome3D\src\com\eteks\sweethome3d\j3d\OBJLoader.java,Service Provider,Service Provider,Service Provider,Service Provider,Service Provider,Service Provider,Service Provider,Service Provider,Service Provider,Service Provider,Service Provider,Service Provider,Service Provider,Service Provider,Service Provider,Service Provider,Service Provider,Service Provider,Service Provider,Service Provider,Service Provider,Service Provider,Service Provider,Service Provider,Service Provider,Service Provider,Service Provider,Service Provider,Service Provider,Service Provider,Service Provider,Service Provider,Service Provider,Service Provider,Service Provider,Service Provider,Service Provider
\SweetHome3D\src\com\eteks\sweethome3d\j3d\OBJMaterial.java,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder
\SweetHome3D\src\com\eteks\sweethome3d\j3d\OBJWriter.ComparableAppearance.java,Service Provider,Service Provider,Service Provider,Service Provider,Service Provider,Service Provider,Service Provider,Service Provider,Service Provider,Service Provider,Service Provider,Service Provider,Service Provider,Service Provider,Service Provider,Service Provider,Service Provider,Service Provider,Service Provider,Service Provider,Service Provider,Service Provider,Service Provider,Service Provider,Service Provider,Service Provider,Service Provider,Service Provider,Service Provider,Service Provider,Service Provider,Service Provider,Service Provider,Service Provider,Service Provider,Service Provider,Service Provider
\SweetHome3D\src\com\eteks\sweethome3d\j3d\OBJWriter.java,Service Provider,Service Provider,Service Provider,Service Provider,Service Provider,Service Provider,Service Provider,Service Provider,Service Provider,Service Provider,Service Provider,Service Provider,Service Provider,Service Provider,Service Provider,Service Provider,Service Provider,Service Provider,Service Provider,Service Provider,Service Provider,Service Provider,Service Provider,Service Provider,Service Provider,Service Provider,Service Provider,Service Provider,Service Provider,Service Provider,Service Provider,Service Provider,Service Provider,Service Provider,Service Provider,Service Provider,Service Provider
\SweetHome3D\src\com\eteks\sweethome3d\j3d\Object3DBranch.TextureKey.java,Class does not exist,Class does not exist,Class does not exist,Class does not exist,Class does not exist,Class does not exist,Class does not exist,Class does not exist,Class does not exist,Class does not exist,Class does not exist,Class does not exist,Class does not exist,Class does not exist,Class does not exist,Class does not exist,Class does not exist,Class does not exist,Class does not exist,Class does not exist,Class does not exist,Class does not exist,Class does not exist,Class does not exist,Class does not exist,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder
\SweetHome3D\src\com\eteks\sweethome3d\j3d\Object3DBranch.java,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder,Structurer,Structurer,Structurer,Structurer,Structurer,Structurer,Structurer,Structurer,Structurer,Structurer,Structurer,Structurer,Structurer,Structurer,Structurer,Structurer,Structurer,Structurer,Structurer,Structurer,Structurer,Structurer,Structurer,Structurer,Structurer
\SweetHome3D\src\com\eteks\sweethome3d\j3d\Object3DBranchFactory.java,Class does not exist,Service Provider,Service Provider,Service Provider,Service Provider,Service Provider,Service Provider,Service Provider,Service Provider,Service Provider,Service Provider,Service Provider,Service Provider,Service Provider,Service Provider,Service Provider,Service Provider,Service Provider,Service Provider,Service Provider,Service Provider,Service Provider,Service Provider,Service Provider,Service Provider,Service Provider,Service Provider,Service Provider,Service Provider,Service Provider,Service Provider,Interfacer,Interfacer,Interfacer,Interfacer,Interfacer,Interfacer
\SweetHome3D\src\com\eteks\sweethome3d\j3d\PhotoRenderer.BufferedImageDisplay.java,Service Provider,Service Provider,Service Provider,Service Provider,Service Provider,Service Provider,Service Provider,Service Provider,Service Provider,Service Provider,Service Provider,Service Provider,Service Provider,Service Provider,Service Provider,Service Provider,Service Provider,Service Provider,Service Provider,Service Provider,Service Provider,Service Provider,Service Provider,Service Provider,Service Provider,Service Provider,Service Provider,Service Provider,Service Provider,Service Provider,Service Provider,Service Provider,Service Provider,Service Provider,Service Provider,Service Provider,Service Provider
\SweetHome3D\src\com\eteks\sweethome3d\j3d\PhotoRenderer.PhotoObject3DFactory.java,Class does not exist,Class does not exist,Class does not exist,Class does not exist,Class does not exist,Class does not exist,Class does not exist,Class does not exist,Class does not exist,Class does not exist,Class does not exist,Class does not exist,Class does not exist,Class does not exist,Class does not exist,Class does not exist,Service Provider,Service Provider,Service Provider,Service Provider,Service Provider,Service Provider,Service Provider,Service Provider,Service Provider,Service Provider,Service Provider,Service Provider,Service Provider,Service Provider,Service Provider,Service Provider,Service Provider,Service Provider,Service Provider,Service Provider,Service Provider
\SweetHome3D\src\com\eteks\sweethome3d\j3d\PhotoRenderer.Quality.java,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder
\SweetHome3D\src\com\eteks\sweethome3d\j3d\PhotoRenderer.SphereLightWithNoRepresentation.java,Service Provider,Service Provider,Service Provider,Service Provider,Service Provider,Service Provider,Service Provider,Service Provider,Service Provider,Service Provider,Service Provider,Service Provider,Service Provider,Service Provider,Service Provider,Service Provider,Service Provider,Service Provider,Service Provider,Service Provider,Service Provider,Service Provider,Service Provider,Service Provider,Service Provider,Service Provider,Service Provider,Service Provider,Service Provider,Service Provider,Service Provider,Service Provider,Service Provider,Service Provider,Service Provider,Service Provider,Service Provider
\SweetHome3D\src\com\eteks\sweethome3d\j3d\PhotoRenderer.TransparentTextureKey.java,Class does not exist,Class does not exist,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder
\SweetHome3D\src\com\eteks\sweethome3d\j3d\PhotoRenderer.Triangle.java,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder
\SweetHome3D\src\com\eteks\sweethome3d\j3d\PhotoRenderer.java,Service Provider,Service Provider,Service Provider,Service Provider,Service Provider,Service Provider,Service Provider,Service Provider,Service Provider,Service Provider,Service Provider,Service Provider,Service Provider,Service Provider,Service Provider,Service Provider,Service Provider,Service Provider,Service Provider,Service Provider,Service Provider,Service Provider,Service Provider,Service Provider,Service Provider,Service Provider,Service Provider,Service Provider,Service Provider,Service Provider,Service Provider,Service Provider,Service Provider,Service Provider,Service Provider,Service Provider,Service Provider
\SweetHome3D\src\com\eteks\sweethome3d\j3d\Polyline3D.java,Class does not exist,Class does not exist,Class does not exist,Class does not exist,Class does not exist,Class does not exist,Class does not exist,Class does not exist,Class does not exist,Class does not exist,Class does not exist,Class does not exist,Class does not exist,Class does not exist,Class does not exist,Class does not exist,Class does not exist,Class does not exist,Class does not exist,Class does not exist,Class does not exist,Class does not exist,Class does not exist,Class does not exist,Class does not exist,Class does not exist,Class does not exist,Class does not exist,Class does not exist,Class does not exist,Class does not exist,Coordinator,Coordinator,Coordinator,Coordinator,Coordinator,Coordinator
\SweetHome3D\src\com\eteks\sweethome3d\j3d\Room3D.java,Coordinator,Coordinator,Coordinator,Coordinator,Service Provider,Service Provider,Service Provider,Service Provider,Service Provider,Service Provider,Service Provider,Service Provider,Service Provider,Service Provider,Service Provider,Service Provider,Service Provider,Service Provider,Service Provider,Service Provider,Service Provider,Service Provider,Service Provider,Service Provider,Service Provider,Service Provider,Service Provider,Service Provider,Service Provider,Service Provider,Service Provider,Service Provider,Service Provider,Service Provider,Service Provider,Service Provider,Service Provider
\SweetHome3D\src\com\eteks\sweethome3d\j3d\ShapeTools.SVGPathSupport.java,Class does not exist,Class does not exist,Class does not exist,Class does not exist,Class does not exist,Class does not exist,Class does not exist,Class does not exist,Class does not exist,Class does not exist,Class does not exist,Class does not exist,Class does not exist,Class does not exist,Class does not exist,Class does not exist,Class does not exist,Class does not exist,Class does not exist,Class does not exist,Class does not exist,Class does not exist,Class does not exist,Class does not exist,Class does not exist,Class does not exist,Class does not exist,Class does not exist,Class does not exist,Class does not exist,Class does not exist,Service Provider,Service Provider,Service Provider,Service Provider,Service Provider,Service Provider
\SweetHome3D\src\com\eteks\sweethome3d\j3d\ShapeTools.java,Class does not exist,Class does not exist,Class does not exist,Class does not exist,Class does not exist,Class does not exist,Class does not exist,Class does not exist,Class does not exist,Class does not exist,Class does not exist,Class does not exist,Class does not exist,Class does not exist,Class does not exist,Class does not exist,Class does not exist,Class does not exist,Class does not exist,Class does not exist,Class does not exist,Class does not exist,Class does not exist,Class does not exist,Class does not exist,Class does not exist,Class does not exist,Class does not exist,Class does not exist,Class does not exist,Class does not exist,Structurer,Structurer,Structurer,Structurer,Structurer,Structurer
\SweetHome3D\src\com\eteks\sweethome3d\j3d\TextureManager.ComparableTexture.java,Class does not exist,Class does not exist,Class does not exist,Class does not exist,Class does not exist,Class does not exist,Class does not exist,Class does not exist,Class does not exist,Class does not exist,Class does not exist,Class does not exist,Class does not exist,Class does not exist,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder
\SweetHome3D\src\com\eteks\sweethome3d\j3d\TextureManager.ComparableTextureAngleTuple.java,Class does not exist,Class does not exist,Class does not exist,Class does not exist,Class does not exist,Class does not exist,Class does not exist,Class does not exist,Class does not exist,Class does not exist,Class does not exist,Class does not exist,Class does not exist,Class does not exist,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder
\SweetHome3D\src\com\eteks\sweethome3d\j3d\TextureManager.RotatedContentKey.java,Class does not exist,Class does not exist,Class does not exist,Class does not exist,Class does not exist,Class does not exist,Class does not exist,Class does not exist,Class does not exist,Class does not exist,Class does not exist,Class does not exist,Class does not exist,Service Provider,Service Provider,Service Provider,Service Provider,Service Provider,Service Provider,Service Provider,Service Provider,Service Provider,Service Provider,Service Provider,Service Provider,Service Provider,Service Provider,Service Provider,Service Provider,Service Provider,Service Provider,Service Provider,Service Provider,Service Provider,Service Provider,Service Provider,Service Provider
\SweetHome3D\src\com\eteks\sweethome3d\j3d\TextureManager.TextureKey.java,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder,Class does not exist,Class does not exist,Class does not exist,Class does not exist,Class does not exist,Class does not exist,Class does not exist,Class does not exist,Class does not exist,Class does not exist,Class does not exist,Class does not exist,Class does not exist,Class does not exist,Class does not exist,Class does not exist,Class does not exist,Class does not exist,Class does not exist,Class does not exist,Class does not exist,Class does not exist,Class does not exist
\SweetHome3D\src\com\eteks\sweethome3d\j3d\TextureManager.TextureObserver.java,Service Provider,Service Provider,Service Provider,Service Provider,Service Provider,Service Provider,Service Provider,Service Provider,Service Provider,Service Provider,Service Provider,Service Provider,Service Provider,Service Provider,Service Provider,Service Provider,Service Provider,Service Provider,Service Provider,Service Provider,Service Provider,Service Provider,Service Provider,Service Provider,Service Provider,Service Provider,Service Provider,Service Provider,Service Provider,Service Provider,Service Provider,Service Provider,Service Provider,Service Provider,Service Provider,Service Provider,Service Provider
\SweetHome3D\src\com\eteks\sweethome3d\j3d\TextureManager.java,Service Provider,Service Provider,Service Provider,Service Provider,Service Provider,Service Provider,Service Provider,Service Provider,Service Provider,Service Provider,Service Provider,Service Provider,Service Provider,Service Provider,Service Provider,Service Provider,Service Provider,Service Provider,Service Provider,Service Provider,Service Provider,Service Provider,Service Provider,Service Provider,Service Provider,Service Provider,Service Provider,Service Provider,Service Provider,Service Provider,Service Provider,Service Provider,Service Provider,Service Provider,Service Provider,Service Provider,Service Provider
\SweetHome3D\src\com\eteks\sweethome3d\j3d\Wall3D.DoorOrWindowArea.java,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder
\SweetHome3D\src\com\eteks\sweethome3d\j3d\Wall3D.ModelRotationTuple.java,Class does not exist,Class does not exist,Class does not exist,Class does not exist,Class does not exist,Class does not exist,Class does not exist,Class does not exist,Class does not exist,Class does not exist,Class does not exist,Class does not exist,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder
\SweetHome3D\src\com\eteks\sweethome3d\j3d\Wall3D.java,Service Provider,Service Provider,Service Provider,Service Provider,Service Provider,Service Provider,Service Provider,Service Provider,Service Provider,Service Provider,Service Provider,Service Provider,Service Provider,Service Provider,Service Provider,Service Provider,Service Provider,Service Provider,Service Provider,Service Provider,Service Provider,Service Provider,Service Provider,Service Provider,Service Provider,Service Provider,Service Provider,Service Provider,Service Provider,Service Provider,Service Provider,Service Provider,Service Provider,Service Provider,Service Provider,Service Provider,Service Provider
\SweetHome3D\src\com\eteks\sweethome3d\model\AspectRatio.java,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder
\SweetHome3D\src\com\eteks\sweethome3d\model\BackgroundImage.java,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder
\SweetHome3D\src\com\eteks\sweethome3d\model\Baseboard.java,Class does not exist,Class does not exist,Class does not exist,Class does not exist,Class does not exist,Class does not exist,Class does not exist,Class does not exist,Class does not exist,Class does not exist,Class does not exist,Class does not exist,Class does not exist,Class does not exist,Class does not exist,Class does not exist,Class does not exist,Class does not exist,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder
\SweetHome3D\src\com\eteks\sweethome3d\model\Camera.Lens.java,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder
\SweetHome3D\src\com\eteks\sweethome3d\model\Camera.Property.java,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder
\SweetHome3D\src\com\eteks\sweethome3d\model\Camera.java,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder
\SweetHome3D\src\com\eteks\sweethome3d\model\CatalogDoorOrWindow.java,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder
\SweetHome3D\src\com\eteks\sweethome3d\model\CatalogItem.java,Class does not exist,Class does not exist,Class does not exist,Class does not exist,Class does not exist,Class does not exist,Class does not exist,Class does not exist,Class does not exist,Class does not exist,Class does not exist,Class does not exist,Class does not exist,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder
\SweetHome3D\src\com\eteks\sweethome3d\model\CatalogLight.java,Information Holder,Information Holder,Information Holder,Information Holder,Structurer,Structurer,Structurer,Structurer,Structurer,Structurer,Structurer,Structurer,Structurer,Structurer,Structurer,Structurer,Structurer,Structurer,Structurer,Structurer,Structurer,Structurer,Structurer,Structurer,Structurer,Structurer,Structurer,Structurer,Structurer,Structurer,Structurer,Structurer,Structurer,Structurer,Structurer,Structurer,Structurer
\SweetHome3D\src\com\eteks\sweethome3d\model\CatalogPieceOfFurniture.java,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder
\SweetHome3D\src\com\eteks\sweethome3d\model\CatalogTexture.java,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder,Structurer,Structurer,Structurer,Structurer,Structurer,Structurer,Structurer,Structurer,Structurer,Structurer,Structurer,Structurer,Structurer,Structurer,Structurer,Structurer,Structurer,Structurer,Structurer,Structurer,Structurer,Structurer,Structurer,Structurer
\SweetHome3D\src\com\eteks\sweethome3d\model\CollectionChangeSupport.java,Structurer,Structurer,Structurer,Structurer,Structurer,Structurer,Structurer,Structurer,Structurer,Structurer,Structurer,Structurer,Structurer,Structurer,Structurer,Structurer,Structurer,Structurer,Structurer,Structurer,Structurer,Structurer,Structurer,Structurer,Structurer,Structurer,Structurer,Structurer,Structurer,Structurer,Structurer,Structurer,Structurer,Structurer,Structurer,Structurer,Structurer
\SweetHome3D\src\com\eteks\sweethome3d\model\CollectionEvent.Type.java,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder
\SweetHome3D\src\com\eteks\sweethome3d\model\CollectionEvent.java,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder
\SweetHome3D\src\com\eteks\sweethome3d\model\CollectionListener.java,Service Provider,Service Provider,Service Provider,Service Provider,Service Provider,Service Provider,Service Provider,Service Provider,Service Provider,Service Provider,Service Provider,Service Provider,Service Provider,Service Provider,Service Provider,Service Provider,Service Provider,Service Provider,Service Provider,Service Provider,Service Provider,Service Provider,Service Provider,Service Provider,Service Provider,Service Provider,Service Provider,Service Provider,Service Provider,Service Provider,Service Provider,Service Provider,Service Provider,Service Provider,Service Provider,Service Provider,Service Provider
\SweetHome3D\src\com\eteks\sweethome3d\model\Compass.GeographicPoint.java,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder
\SweetHome3D\src\com\eteks\sweethome3d\model\Compass.Property.java,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder
\SweetHome3D\src\com\eteks\sweethome3d\model\Compass.java,Service Provider,Service Provider,Service Provider,Service Provider,Service Provider,Service Provider,Service Provider,Service Provider,Service Provider,Service Provider,Service Provider,Service Provider,Service Provider,Service Provider,Service Provider,Service Provider,Service Provider,Service Provider,Service Provider,Service Provider,Service Provider,Service Provider,Service Provider,Service Provider,Service Provider,Service Provider,Service Provider,Service Provider,Service Provider,Service Provider,Service Provider,Service Provider,Service Provider,Service Provider,Service Provider,Service Provider,Service Provider
\SweetHome3D\src\com\eteks\sweethome3d\model\Content.java,Service Provider,Service Provider,Service Provider,Service Provider,Service Provider,Service Provider,Service Provider,Service Provider,Service Provider,Service Provider,Service Provider,Service Provider,Service Provider,Service Provider,Service Provider,Service Provider,Service Provider,Service Provider,Service Provider,Service Provider,Service Provider,Service Provider,Service Provider,Service Provider,Service Provider,Service Provider,Service Provider,Service Provider,Service Provider,Service Provider,Service Provider,Service Provider,Service Provider,Service Provider,Service Provider,Service Provider,Service Provider
\SweetHome3D\src\com\eteks\sweethome3d\model\DamagedHomeRecorderException.java,Class does not exist,Class does not exist,Class does not exist,Class does not exist,Class does not exist,Class does not exist,Class does not exist,Class does not exist,Class does not exist,Class does not exist,Class does not exist,Class does not exist,Class does not exist,Class does not exist,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder
\SweetHome3D\src\com\eteks\sweethome3d\model\DimensionLine.Property.java,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder
\SweetHome3D\src\com\eteks\sweethome3d\model\DimensionLine.java,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder
\SweetHome3D\src\com\eteks\sweethome3d\model\DoorOrWindow.java,Service Provider,Service Provider,Service Provider,Service Provider,Service Provider,Service Provider,Service Provider,Service Provider,Service Provider,Service Provider,Service Provider,Service Provider,Service Provider,Service Provider,Service Provider,Service Provider,Service Provider,Service Provider,Service Provider,Service Provider,Service Provider,Service Provider,Service Provider,Service Provider,Service Provider,Service Provider,Service Provider,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder
